Arabic,English,Dutch
اِشتِراكيّ,socialist,socialistisch
عَداء,"aggression, hostility; enmity, animosity","agressie, vijandigheid; vijandschap, animositeit"
أنْف,nose; (figurative) pride,neus; (figuurlijk) trots
رَغمَ أنفِهِ,"against his will, to spite him","tegen zijn wil, om hem te pesten."
قَصْر,"shortness, smallness; limiting, restricting","kortheid, kleinheid; beperkend, restrictief"
اِختِصار,"abbreviation, shortening","afkorting, verkorting"
بِاِختِصار,"briefly, in short","kort gezegd, in het kort"
سيجارة، سَجائِر,cigarette,sigaret
بَذْل,"spending, expenditure; exertion, effort; donating","uitgaven, kosten; inspanning, moeite; schenken"
اِتَّسَمَ,to be characterized ب by,gekenmerkt worden door
حِلُف,"alliance, treaty, pact","alliantie, verdrag, pact"
حَصيلة,"result, outcome; sum, total count; revenue","resultaat, uitkomst; som, totaal aantal; opbrengst"
هَبَطَ، يَهبِطُ، الهُبوط,"to drop, fall, decline; to fall (night, darkness); to land (aircraft)","dalen, vallen, afnemen; vallen (nacht, duisternis); landen (vliegtuig)"
كُلفة,"cost, expenditure, overhead","kosten, uitgaven, overhead"
غُضون,interim,tussentijds
في غُضون,during,tijdens
مَسكَن، مَساكِن,"residence, domicile","verblijfplaats, woonplaats"
قُرابةَ,"almost, nearly","bijna, vrijwel"
اِستَجابَ,to accept ل (an invitation); to grant ل (a request); to comply with ل (somebody’s demands); to respond to ل (medical treatment),een uitnodiging accepteren; een verzoek inwilligen; aan iemands eisen voldoen; reageren op een medische behandeling
روحيّ,spiritual; alcoholic,spiritueel; alcoholisch
َقُدّام,in front of,voor
قَرُبَ، يَقرُبُ، القَرابة,"to approach, draw near","naderen, dichterbij komen"
فاشِل,"failed, failing, unsuccessful; a failure","mislukt, mislukken, niet succesvol; een mislukking"
اِبتِعاد,"avoiding, moving or staying away; distancing oneself (عن from)","vermijden, weggaan of afstand nemen; afstand nemen (عن van)"
فَسَّرَ,"to explain, interpret something (ل for somebody)","iets uitleggen, interpreteren (ل voor iemand)"
قَناعة,"conviction, belief","overtuiging, geloof"
عن قَناعة,out of conviction,uit overtuiging
على قَناعة,convinced,overtuigd
شكا، يَشكو، الشَّكْو,to complain إلى to somebody من about; to suffer من from,klagen إلى iemand من over; om last van te hebben
باكِستانيّ,Pakistani,Pakistaans
وَحْش، وُحوش,beast,beest
اِستَيْقَظَ,to wake up; be alert,wakker worden; alert zijn
لَطيف,"kind, gentle, polite, nice","vriendelijk, zachtaardig, beleefd, aardig"
يا لَطيف,oh my! wow!,Oh mijn hemel! Wauw!
اِعتِذار,apology; excuse,verontschuldiging; excuus
مَأْزِق,"impasse, predicament; dilemma, crisis","impasse, benarde situatie; dilemma, crisis"
تَدَهوُر,"decline, deterioration; fall, drop","achteruitgang, verslechtering; val, daling"
تَخَلّي,"relinquishment, surrender, renunciation (من of)","afstand doen van, overgave, verzaking (من van)"
تُزايُد,"(gradual) growth, increase, rise","(geleidelijke) groei, toename, stijging"
تَواصَلَ,"to maintain, pursue (efforts); to maintain mutual contacts or intercommunication مع with","(Inspanningen) volhouden, nastreven; wederzijds contact of communicatie onderhouden met"
تِلوَ,"after, followed by","daarna, gevolgd door"
خَطِر,"serious, grave, critical; dangerous, risky","ernstig, zwaar, kritiek; gevaarlijk, riskant"
تَحكيم,arbitration,arbitrage
لَجنة تَحكيم,jury,jury
لَعنة,"curse, oath; enchantment, spell","vloek, eed; betovering, spreuk"
خال,maternal uncle,moeders oom
فاجَأَ,to surprise somebody (ب with),iemand verrassen (ب met)
فوجِئَ,to be surprised (ب by),verrast zijn (ب door)
فَوْريّ,"immediate, instant; direct","onmiddellijk, ogenblikkelijk; direct"
مَبيع,sold,verkocht
مَبيعات,sales,verkoop
حَريص,"mindful, careful, protective على of; eager, desirous على for, keen على on","oplettend, voorzichtig, beschermend على van; gretig, verlangend على voor, enthousiast على op"
مَجّاناً/بِالمَجّان,"for free, free of charge","gratis, zonder kosten"
سَمْع,hearing,gehoor
مُسرِع,"hurrying, hastening","haasten, opschieten"
مُغامَرة,"adventure, risk","avontuur, risico"
عائِليّ,"(adjective) family, domestic, familial","(bijvoeglijk naamwoord) familie, huiselijk, familiair"
ذَكَّرَ,to remind somebody,iemand eraan herinneren
تَعَلُّم,"learning, study","leren, studeren"
فَرِحَ، يَفرَحُ، الفَرَح,to rejoice; to be happy ب/ل about something,zich verheugen; blij zijn met iets
سَويّ,"straight, correct","recht, correct"
سَويّاً,"together, jointly","samen, gezamenlijk"
نِضال,"struggle, battle","strijd, gevecht"
نَاهيك,not to mention,om maar niet te noemen
أديب، أُدَباء,"author, writer","auteur, schrijver"
عود,"lute; stick, match stick; aloe plant","luit; stok, lucifer; aloëplant"
دُهْن العودِ,"aloe gel; body, physique","aloë vera-gel; lichaam, lichaamsbouw"
طَريّ/ناعِم العودِ,"frail, delicate","broos, delicaat"
أعانَ,"to assist, support somebody/something",iemand/iets bijstaan ​​of ondersteunen
ميليشيا; ميليشياات,militia,militie
إنفاق,"spending, expenditure, disbursement; expenses","uitgaven, kosten, uitbetalingen; onkosten"
جَوْهَر، جَواهِر,"gem; jewel; (figurative) essence, substance, gist; heart, crux, core","edelsteen; juweel; (figuurlijk.) essentie, substantie, kern; hart, kern, essentie"
وَلاء,"loyalty, allegiance","loyaliteit, trouw"
سيناريو,scenario,scenario
اِستَعادَ,"to recover, regain, reclaim something","iets terugkrijgen, herwinnen, terugvorderen"
مَيَّزَ,"to distinguish something/somebody, to set something/somebody apart (عن from the rest); to differentiate, tell the difference بين between","iets/iemand onderscheiden, iets/iemand apart zetten (عن van de rest); differentiëren, het verschil aangeven بين tussen"
تَدريجيّ,"gradual, progressive","geleidelijk, progressief"
تَدريجيّاً,gradually,geleidelijk
خَفَّفَ,"to lower, lessen, decrease something; to alleviate, mitigate من something","iets verlagen, verminderen, verkleinen; iets verlichten, verzachten."
تَمَرُّد,"rebellion, insurgency, insurrection","rebellie, opstand, rebellie"
نَتَجَ، يَنتَجُ، النَّتْج,"to result, arise من/عن from",resulterend uit من/عن
تَلَوُّث,"pollution, contamination","vervuiling, besmetting"
ميثاق,"treaty, pact, charter","verdrag, pact, handvest"
نَظافة,cleanliness,netheid
هُبوط,"drop, fall, decline; descent; landing (aircraft); (med) prolapse","dalen, vallen, afnemen; afdaling; landing (vliegtuig); (medisch) prolaps"
مَسيح,messiah,Messias
سَتَرَ، يَستَرُ، السَّتْر,"to veil, cover, hide something","iets verhullen, bedekken, verbergen"
عَرَق,"sweat, perspiration; araq (alcoholic drink similar to ouzo)","zweet, transpiratie; araq (alcoholische drank vergelijkbaar met ouzo)"
مُتَزَوِّج,married (من to),getrouwd (من met)
حَصْر,"encirclement, containment; bounds, limits","omsingeling, insluiting; grenzen, beperkingen"
لا حَصْر لَهُ,"unlimited, immense","onbeperkt, immens"
وِقاية,prevention; precaution; protection,preventie; voorzorg; bescherming
راعي,"guardian; patron, sponsor; steward","voogd; beschermheer, sponsor; rentmeester"
بِئْر,"well, spring","Nou ja, de lente"
مُضيّ,passing (of time); expiration (deadline),verstrijken (van tijd); vervaldatum (deadline)
المُضيّ قُدُماً,"proceeding, continuing (في with)","voortgaand, doorgaand (في met)"
تَبَنّى,to adopt something; to claim responsibility for something; to be built,iets aannemen; de verantwoordelijkheid voor iets opeisen; gebouwd worden
إقرار,"ratification, confirmation","ratificatie, bevestiging"
صَرَفَ، يَصرِفُ، صَريف,"to spend, change (money); to dismiss, fire somebody; to divert something (عن from)","geld uitgeven, wisselen; iemand ontslaan; iets afleiden (van)"
حَشْد,"(military) buildup, mobilization; crowd, gathering","(militair) opbouw, mobilisatie; menigte, samenkomst"
يَتيم، أتيام,"orphan; orphaned; unique, sole, only (existing)","wees; verweesd; uniek, enig, enig (bestaand)"
حَرّ,"warmth, heat; warm, hot, spicy","warmte, hitte; warm, heet, kruidig"
مَعيشة,"livelihood, subsistence; life, living","levensonderhoud, bestaansmiddelen; leven, bestaan"
أتَمّ,"to complete, finish, conclude something","iets voltooien, afmaken, afronden"
نَسيج,"fabric, tissue, textile","stof, weefsel, textiel"
مَجهود,"expended (efforts); efforts, endeavors","geleverde (inspanningen); inspanningen, pogingen"
تَأْييد,"support, assistance; approval","steun, hulp; goedkeuring"
شُهرة,"reputation, fame","reputatie, roem"
تَنافُس,"competition, rivalry","concurrentie, rivaliteit"
عَضَلة; عَضَلات,muscle,spier
غَيْرة,jealousy; zeal,jaloezie; ijver
حَدَّثَ,"to tell somebody, speak to somebody (عن about); to narrate","iemand iets vertellen, met iemand praten (عن over); vertellen"
عَقليّ,"mental, intellectual; rational","mentaal, intellectueel; rationeel"
أكاديميّة,academy,academie
ضَرَّ، يَضٌرُّ، الضَّرّ,"to harm, injure ب something (one’s health)","iets schaden, verwonden (iemands gezondheid)"
غارة; غارات,"raid, foray","inval, rooftocht"
خَيْمة، خِيام,tent,tent
مُتَفَرِّق,"diverse, different, separate; dispersed, scattered, sporadic","divers, verschillend, afzonderlijk; verspreid, verstrooid, sporadisch"
مُوازَرة,"budget; balance, comparison","budget; balans, vergelijking"
أُسطورة، أساطير,"myth, fable; tale, legend","mythe, fabel; verhaal, legende"
مُستَخدَم,"used, utilized, employed","gebruikt, ingezet, toegepast"
تَنظيف,cleaning,schoonmaak
زَعَمَ، يَزعَمُ، الزَّعْم,"to allege, claim بِأنّ/أنّ that","beweren, claim بِأنّ/أنّ dat"
حِضْن، أحضان,bosom; arms,boezem; armen
في/بين أحضان,"amidst, in the hearts of","te midden van, in de harten van"
أقبَلَ,"to approach, draw near على somebody/something; to engage على in","iemand/iets benaderen, dichterbij komen; zich ermee bezighouden"
بَحرَنيّ,Bahraini,Bahreinse
طين,clay; mud,klei; modder
زَادَ الطّين بِلّةً,to make things worse,om de zaken nog erger te maken
مَقطَع، مَقاطِع,"section; selection, excerpt","sectie; selectie, uittreksel"
سُخريّة,"sarcasm, cynicism; ridicule","sarcasme, cynisme; spot"
مُشابِه,similar,vergelijkbaar
سائِل، سَوائِل,"fluid, liquid","vloeistof, vloeibaar"
سُلَّم,"ladder; stairs, staircase; scale","ladder; trap, trappenhuis; weegschaal"
مُمتَدّ,"stretching, extending; spreading","uitrekken, verlengen; spreiden"
اِستَنَدَ,"to support, lean on, rely on إلى st","ondersteunen, steunen op, vertrouwen op إلى st"
سَرى، يَسري، السَّيَران,"to flow, circulate, spread; to apply (a law) على to","stromen, circuleren, verspreiden; een wet toepassen"
خَفْض,"lowering, decreasing; reduction, diminution","verlagen, afnemen; vermindering, vermindering"
مُفتَرَض,"assumed, presumed, supposed, alleged","aangenomen, verondersteld, verondersteld, beweerd"
فِراق,"parting, farewell, going away","afscheid, vaarwel, weggaan"
كَتِف,(fem) shoulder,(vrouwelijke) schouder
مَسَكَ، يَمسِكُ، المَسْك,"to grab, hold something or ب something","iets vastpakken, vasthouden of iets"
تَنَوُّع,"variety, diversity","variëteit, diversiteit"
مُنشَأة، مُنشَآت,"facility, installation, plant","faciliteit, installatie, fabriek"
عشوائِيّ,"random, indiscriminate, arbitrary","willekeurig, zonder onderscheid, arbitrair"
حَدّ,"limiting, curbing من (somebody’s freedom, power); stopping, halting, ending من something","beperken, inperken van (iemands vrijheid, macht); stoppen, halt houden, beëindigen van iets"
مُنَظَّم,"organizer, sponsor; organizing, sponsoring","organisator, sponsor; organiseren, sponsoren"
خَشية,"fear, anxiety; concern, worry","angst, bezorgdheid; zorg, onrust"
ذِراع، أُذرُع,"arm, lever, crank","arm, hefboom, kruk"
قَدير,"capable, efficient; Omnipotent (God)","bekwaam, efficiënt; Almachtig (God)"
أقدَمَ,"to undertake, tackle, approach على something","ondernemen, aanpakken, benaderen على iets"
مِثاليّ,"ideal, perfect, exemplary, model","ideaal, perfect, voorbeeldig, model"
نَبَويّ,prophetic; relating to the Prophet Muhammad,profetisch; met betrekking tot de profeet Mohammed
هَيْمَنة,"control, power, rule; supremacy, domination","controle, macht, heerschappij; suprematie, dominantie"
اِرتِكاب,"perpetration, commission (crime, error)","daderschap, begaan (misdaad, fout)"
نَزْع,removal; elimination; deposition,verwijdering; eliminatie; afzetting
تَخصيص,"designation, specification; allocation, appropriation; reserving, earmarking","aanduiding, specificatie; toewijzing, toe-eigening; reservering, bestemming"
اِختِصاص,"specialty, area of competence; jurisdiction, domain, area of responsibility","specialisatie, competentiegebied; rechtsgebied, domein, verantwoordelijkheidsgebied"
